ID,age,length_in_durham,mask_public_outdoor,condition_public_art
418,5,42,9,9
419,3,14,5,4
420,1,31,5,3
421,4,59,5,9
422,3,30,5,3
423,1,NA,9,9
424,9,41,5,3
425,4,35,4,3
426,2,13,3,3
427,3,7,9,4
428,2,15,5,2
429,4,42,5,4
430,2,5,5,2
431,9,6,3,3
432,1,19,5,4
433,5,60,5,9
434,3,25,5,4
435,9,10,5,4
436,5,60,5,9
437,5,7,5,2
438,4,59,9,3
439,3,37,4,4
440,3,26,5,5
441,3,35,5,4
442,3,38,5,5
443,5,42,5,4
444,4,23,5,4
445,4,52,5,9
446,2,20,5,4
447,5,6,5,3
448,1,8,5,3
449,2,18,5,5
450,2,27,5,4
451,2,5,5,5
452,2,13,5,3
453,9,NA,5,9
454,2,36,5,4
455,3,10,5,5
456,5,34,5,4
457,5,37,5,4
458,5,50,5,9
459,4,36,5,9
460,4,64,5,5
461,4,32,2,3
462,3,20,1,2
463,4,46,5,3
464,2,10,3,3
465,5,15,5,5
466,4,7,5,5
467,4,60,5,3
468,3,29,5,5
469,4,40,4,9
470,9,NA,5,9
471,2,20,5,4
472,2,10,3,4
473,2,5,4,5
474,2,20,5,4
475,5,57,9,9
476,1,18,9,9
477,4,10,3,4
478,4,17,5,5
479,2,13,5,4
480,3,25,5,4
481,2,44,5,9
482,2,44,5,9
483,5,35,5,4
484,4,60,2,3
485,3,52,4,3
486,2,20,4,3
487,4,40,5,4
488,3,20,5,4
489,3,50,5,4
490,3,45,2,9
491,2,6,4,4
492,4,20,5,9
493,5,79,5,9
494,5,60,5,9
495,2,13,5,3
496,3,16,5,4
497,5,34,9,9
498,5,55,5,3
499,2,4,4,4
500,1,2,4,3
501,1,7,5,4
502,1,14,5,4
503,3,10,5,4
504,2,15,9,3
505,4,6,5,3
506,5,80,5,3
507,1,8,5,5
508,5,38,5,5
509,5,NA,5,9
510,1,21,5,3
511,3,35,2,1
512,4,51,9,4
513,4,6,5,4
514,2,20,1,4
515,1,7,5,5
516,5,1,5,3
517,5,5,5,9
518,3,40,9,9
519,2,29,5,4
520,2,43,5,2
521,1,3,5,4
522,9,13,5,4
523,3,50,5,4
524,1,15,3,5
525,5,25,5,3
526,1,13,9,4
527,3,38,4,3
528,1,5,5,9
529,4,15,5,4
530,3,3,5,9
531,3,20,4,4
532,5,18,5,3
533,4,53,4,9
534,3,0,5,3
535,3,30,4,2
536,1,30,5,9
537,3,6,5,9
538,4,36,5,4
539,5,45,9,9
540,4,30,5,4
541,5,37,5,3
542,5,30,5,9
543,1,0,3,4
544,3,17,5,4
545,3,25,5,5
546,2,20,9,9
547,3,35,5,2
548,5,5,5,9
549,4,23,5,4
550,1,10,2,3
551,1,1,4,4
552,1,8,5,5
553,5,50,3,3
554,5,68,5,3
555,3,40,5,5
556,1,5,3,3
557,1,31,4,9
558,5,52,5,3
559,3,47,5,5
560,1,13,4,4
561,4,63,9,9
562,3,2,5,9
563,3,30,5,4
564,4,44,5,3
565,4,54,9,3
566,2,8,5,4
567,1,15,3,4
568,3,8,5,9
569,2,16,9,5
570,2,19,5,4
571,5,7,5,4
572,4,31,4,9
573,3,16,5,5
574,2,20,5,2
575,1,1,3,9
576,1,10,5,3
577,3,28,5,3
578,4,61,5,4
579,1,3,5,4
580,3,25,5,4
581,2,21,5,4
582,3,51,5,3
583,4,32,4,9
584,4,30,5,9
585,4,23,5,3
586,4,36,5,9
587,2,NA,9,4
588,1,15,5,4
589,1,7,5,4
590,3,34,9,4
591,5,77,9,4
592,2,14,5,4
593,3,27,9,4
594,3,7,5,9
595,1,5,4,5
596,1,15,5,4
597,5,NA,9,3
598,1,13,5,9
599,4,59,4,4
600,3,17,5,4
601,4,60,3,9
602,9,NA,5,2
603,2,2,5,5
604,2,44,9,3
605,2,6,5,3
606,1,6,9,3
607,1,33,5,3
608,4,6,5,9
609,1,11,9,5
610,2,20,5,4
611,2,15,5,3
612,3,30,4,2
613,3,39,1,5
614,4,4,5,4
615,4,40,5,4
616,3,26,5,9
617,4,50,5,5
618,2,9,5,4
619,3,14,5,9
620,3,46,3,9
621,5,76,3,3
622,4,7,1,9
623,2,40,5,4
624,3,20,5,5
625,4,15,9,4
626,5,10,5,3
627,4,22,5,4
628,5,20,5,5
629,5,42,5,4
630,3,32,5,9
631,4,NA,5,9
632,5,7,5,9
633,5,50,5,9
634,5,37,5,3
635,2,35,5,9
636,1,13,9,9
637,5,70,5,4
638,1,2,4,5
639,5,61,9,9
640,1,2,5,4
641,4,61,5,2
642,1,15,5,3
643,3,19,5,9
644,3,48,5,4
645,4,30,5,1
646,3,35,3,4
647,2,2,4,4
648,9,36,5,3
649,4,8,4,9
650,1,5,5,4
651,1,3,5,5
652,3,37,5,9
653,4,58,5,3
654,1,10,3,4
655,1,4,4,2
656,1,3,9,4
657,2,9,5,4
658,4,3,3,4
659,4,52,4,1
660,4,64,2,3
661,1,4,4,3
662,5,55,9,9
663,4,4,5,3
664,1,12,5,4
665,3,24,4,4
666,1,4,4,5
667,1,8,4,4
668,4,14,9,5
669,2,20,5,4
670,9,22,5,3
671,4,55,4,3
672,1,3,4,9
673,4,32,4,5
674,5,NA,4,2
675,2,NA,5,4
676,1,10,5,9
677,3,16,3,4
678,3,8,5,9
679,4,20,3,4
680,3,25,4,9
681,4,47,3,9
682,5,40,5,3
683,3,25,4,4
684,4,6,5,9
685,5,50,9,9
686,2,30,9,5
687,1,NA,9,4
688,5,40,5,5
689,2,13,5,3
690,2,30,5,3
691,4,13,5,4
692,3,51,9,9
693,4,30,5,9
694,3,40,5,9
695,5,65,4,4
696,4,13,5,4
697,4,29,5,3
698,4,15,5,9
699,2,15,5,9
700,5,27,5,9
701,3,35,4,4
702,9,NA,5,4
703,3,31,5,9
704,2,20,5,3
705,4,15,4,4
706,4,6,5,3
707,5,76,5,5
708,3,25,5,3
709,3,25,5,4
710,5,52,5,5
711,1,30,9,1
712,2,20,5,4
713,2,30,5,4
714,3,5,5,3
715,3,11,5,9
716,5,5,5,4
717,5,35,4,9
718,2,19,5,4
719,5,70,5,9
720,2,20,5,4
721,2,10,5,5
722,5,73,5,9
723,2,38,5,4
724,2,36,5,4
725,1,12,5,2
726,4,60,1,3
727,3,43,1,9
728,3,7,4,2
729,2,23,4,5
730,5,47,5,9
731,4,36,5,2
732,2,22,5,4
733,5,53,3,3
734,4,38,5,3
735,5,50,5,4
736,2,8,5,4
737,4,63,9,4
738,5,23,5,9
739,2,9,5,4
740,5,71,5,4
741,2,20,5,4
742,5,6,5,4
743,5,14,9,9
744,5,56,9,9
745,2,39,5,9
746,2,5,9,9
747,1,15,5,3
748,3,35,9,4
749,3,15,5,9
750,2,5,5,3
751,2,17,9,3
752,3,20,5,4
753,1,7,5,4
754,2,43,5,4
755,3,23,5,4
756,2,36,9,9
757,3,43,5,1
758,2,17,9,4
759,2,23,5,3
760,5,26,5,1
761,4,60,5,9
762,4,64,5,9
763,1,6,5,3
764,4,17,1,9
765,1,0,4,3
766,1,2,5,4
767,2,20,2,9
768,4,33,3,3
769,5,72,9,9
770,5,10,5,4
771,4,20,5,4
772,3,20,5,1
773,2,14,5,5
774,2,16,5,9
775,2,23,5,3
776,2,NA,5,5
777,5,40,5,4
778,3,41,5,2
779,4,13,4,3
780,1,6,5,4
781,5,17,5,3
782,5,30,5,2
783,1,10,4,3
784,4,60,4,5
785,5,40,9,9
786,3,24,9,4
787,1,6,5,4
788,3,53,5,4
789,5,22,2,3
790,4,24,9,9
791,2,10,4,4
792,1,10,5,9
793,2,16,5,3
794,1,7,5,4
795,3,40,5,3
796,9,50,5,3
797,2,42,5,3
798,2,17,1,4
799,2,11,5,5
800,3,53,5,3
801,1,9,9,3
802,1,14,9,4
803,4,30,5,4
804,2,42,2,9
805,1,7,5,3
806,4,60,9,3
807,4,50,5,4
808,1,6,9,5
809,2,29,5,3
810,2,14,5,4
811,3,37,9,9
812,2,18,5,4
813,2,16,3,9
814,2,26,5,3
815,2,8,9,3
816,3,25,5,4
817,2,20,5,4
818,3,18,5,9
819,2,10,5,4
820,4,41,5,9
821,3,31,5,3
822,4,31,5,4
823,3,7,5,5
824,3,50,9,3
825,4,21,4,4
826,1,33,5,9
827,4,15,5,4
828,5,12,5,9
829,2,3,5,4
830,5,NA,9,9
831,5,76,5,9
832,3,14,5,3
833,1,27,3,3
834,4,13,4,9
835,4,64,9,9
836,4,17,5,1
837,2,11,4,4
838,5,40,5,3
839,4,49,4,5
840,2,8,5,4
841,5,56,5,4
842,5,78,5,3
843,1,13,5,4
844,5,17,9,4
845,4,60,3,4
846,3,29,5,4
847,2,9,5,4
848,3,12,5,9
